Tanggal,"Nama Barang",Quantity,Satuan,"Harga Satuan","Total Harga","Harga Jual",Laba,Revenue,Margin,"Jenis Produk"
30/03/2026,Ricebowl,14,Pcs,10000,140000,12000,28000,168000,20%,Ritel
30/03/2026,"Cireng Japlun",70,Pcs,2000,140000,2500,35000,175000,25%,#N/A
30/03/2026,Waffle,30,Pcs,5000,150000,6000,30000,180000,20%,Ritel
30/03/2026,Bakwan,55,Pcs,2000,110000,2500,27500,137500,25%,Harian
30/03/2026,"Si Lahetot",71,Pcs,5000,355000,7000,142000,497000,40%,Harian
30/03/2026,Cilok,43,Pcs,2500,107500,3500,43000,150500,40%,Harian
30/03/2026,Karoket,30,Pcs,1500,45000,2000,15000,60000,"33,33333333%",Ritel
30/03/2026,"Baso Tahu",15,Pcs,9000,135000,10000,15000,150000,"11,11111111%",Harian
30/03/2026,"Baso Cilok Kriwil",30,Pcs,9000,270000,10000,30000,300000,"11,11111111%",Harian
30/03/2026,Ricebowl,29,Pcs,10000,290000,12000,58000,348000,20%,Ritel
30/03/2026,"Nasi Cokot",40,Pcs,5000,200000,7000,80000,280000,40%,Harian
30/03/2026,"Sosis Solo",49,Pcs,3000,147000,3500,24500,171500,"16,66666667%",Ritel
30/03/2026,Spagetti,16,Pcs,11000,176000,12000,16000,192000,"9,090909091%",Ritel
31/03/2026,Sus,42,Pcs,3000,126000,3500,21000,147000,"16,66666667%",Ritel
31/03/2026,Bakwan,45,Pcs,2000,90000,2500,22500,112500,25%,Harian
31/03/2026,"Cireng Japlun",70,Pcs,2000,140000,2500,35000,175000,25%,#N/A
31/03/2026,"Si Lahetot",88,Pcs,5000,440000,7000,176000,616000,40%,Harian
31/03/2026,"Baso Cilok Kriwil",30,Pcs,9000,270000,10000,30000,300000,"11,11111111%",Harian
31/03/2026,Cilok,66,Pcs,2500,165000,3500,66000,231000,40%,Harian
31/03/2026,Karoket,30,Pcs,1500,45000,2000,15000,60000,"33,33333333%",Ritel
31/03/2026,"Cireng Japlun",75,Pcs,2000,150000,2500,37500,187500,25%,#N/A
31/03/2026,Risoles,30,Pcs,1500,45000,2000,15000,60000,"33,33333333%",Harian
31/03/2026,"Cireng Irfan",30,Pcs,1500,45000,2000,15000,60000,"33,33333333%",#N/A
31/03/2026,Cibay,30,Pcs,1500,45000,2000,15000,60000,"33,33333333%",Ritel
31/03/2026,"Nasi Cokot",60,Pcs,5000,300000,7000,120000,420000,40%,Harian
31/03/2026,"Baso Tahu",15,Pcs,9000,135000,10000,15000,150000,"11,11111111%",Harian
31/03/2026,"Pangsit Goreng",13,Pcs,9000,117000,10000,13000,130000,"11,11111111%",Harian
31/03/2026,"Pangsit Bojot",17,Pcs,10000,170000,12000,34000,204000,20%,Harian
31/03/2026,Ricebowl,48,Pcs,10000,480000,12000,96000,576000,20%,Ritel
31/03/2026,Mochi,28,Pcs,4500,126000,5000,14000,140000,"11,11111111%",Ritel
31/03/2026,"Nasi Bakar",10,Pcs,8000,80000,10000,20000,100000,25%,Harian
31/03/2026,Spagetti,19,Pcs,10000,190000,12000,38000,228000,20%,Ritel
31/03/2026,"Sosis Solo",80,Pcs,3000,240000,3500,40000,280000,"16,66666667%",Ritel
