Tanggal,"Nama Barang",Quantity,Satuan,"Harga Satuan","Total Harga","Harga Jual",Laba,Revenue,Margin,"Jenis Produk"
07/08/2025,Basreng,50,Pcs,5000,250000,6000,100000,350000,40%,Harian
12/08/2025,"Kripca Pedas",10,Pcs,5000,50000,6000,10000,60000,20%,Harian
12/08/2025,"Kripca Asin",10,Pcs,5000,50000,6000,10000,60000,20%,Ritel
12/08/2025,"Sebra Pedas",10,Pcs,5000,50000,6000,10000,60000,20%,Ritel
12/08/2025,"Sebra Asin",10,Pcs,5000,50000,6000,10000,60000,20%,Ritel
13/08/2025,Basreng,30,Pcs,5000,150000,6000,60000,210000,40%,Harian
06/08/2025,Makaroni,23,Pcs,2500,57500,2500,11500,69000,20%,Ritel
15/08/2025,Bayam,44,Pcs,9000,396000,10000,44000,440000,"11,11111111%",Harian
01/08/2025,Cookies,10,Pcs,6000,60000,8000,20000,80000,"33,33333333%",Ritel
25/08/2025,Makaroni,200,Pcs,1600,320000,2500,80000,400000,25%,Ritel
12/08/2025,Belimbing,120,Pcs,"1666,666667",200000,2167,100000,300000,50%,Ritel
12/08/2025,Makaroni,120,Pcs,"1666,666667",200000,2500,40000,240000,20%,Ritel
08/08/2025,"Z Krim Keju",2,Pcs,5000,10000,6000,2000,12000,20%,Ritel
08/08/2025,"Z Krim Moka",1,Pcs,5000,5000,6000,1000,6000,20%,Ritel
08/08/2025,"Z Krim Strawberry",1,Pcs,5000,5000,6000,1000,6000,20%,Harian
08/08/2025,"Dryk Ckl",7,Pcs,6000,42000,7200,8400,50400,20%,Harian
08/08/2025,"Dryk Straw",10,Pcs,6000,60000,7200,12000,72000,20%,Ritel
08/08/2025,"Dryk Martabak",4,Pcs,6000,24000,7200,4800,28800,20%,Harian
08/08/2025,"Dryk Pandan Sarikaya",1,Pcs,6000,6000,7200,1200,7200,20%,Ritel
08/08/2025,"Ksr Keju",3,Pcs,13500,40500,16200,8100,48600,20%,Harian
08/08/2025,"Sisir Mentega",2,Pcs,11000,22000,13200,4400,26400,20%,Harian
08/08/2025,"Sbk Cokelat",1,Pcs,18000,18000,21600,3600,21600,20%,Ritel
08/08/2025,"Sbk Keju",1,Pcs,18000,18000,21600,3600,21600,20%,Ritel
08/08/2025,"Sbk Sarikaya",2,Pcs,18000,36000,21600,7200,43200,20%,Ritel
08/08/2025,"Ksr Krim Meses",1,Pcs,11500,11500,13300,1800,13300,"15,65217391%",Harian
08/08/2025,"Waffle Ori",2,Pcs,5000,10000,6000,2000,12000,20%,Ritel
08/08/2025,Sand.Ckl,8,Pcs,6000,48000,7200,9600,57600,20%,Harian
08/08/2025,Sand.Kacang,3,Pcs,6000,18000,7200,3600,21600,20%,Harian
08/08/2025,Sand.Keju,3,Pcs,6000,18000,7200,3600,21600,20%,Harian
08/08/2025,Sand.Sarikaya,16,Pcs,6000,96000,7200,19200,115200,20%,Harian
08/08/2025,Sandzup.Ckl,2,Pcs,5000,10000,6000,2000,12000,20%,Ritel
08/08/2025,Sandzup.Moc,4,Pcs,5000,20000,6000,4000,24000,20%,Harian
08/08/2025,Sandzup.Strw,1,Pcs,5000,5000,6000,1000,6000,20%,Ritel
08/08/2025,"Choco Bun",14,Pcs,4000,56000,4800,11200,67200,20%,Ritel
08/08/2025,"Choco Cheese GT",16,Pcs,4000,64000,4800,12800,76800,20%,Ritel
08/08/2025,"Swe Cheese Bun GT",1,Pcs,4000,4000,4800,800,4800,20%,Ritel
08/08/2025,"Blue Bun GT",1,Pcs,4000,4000,5000,1000,5000,25%,Harian
08/08/2025,"Coconut Bun GT",1,Pcs,4000,4000,4800,800,4800,20%,Harian
08/08/2025,"Z Krim Cokelat",2,Pcs,5000,10000,6000,2000,12000,20%,Ritel
28/08/2025,"Elang Snack",40,Pcs,8500,340000,10000,140000,480000,"41,17647059%",Ritel
09/08/2025,"Al Ma'soem Gelas",384,Pcs,"395,8333333",152000,896,232000,384000,"152,6315789%",Ritel
09/08/2025,"Al Ma'soem Kecil",72,Pcs,"1208,333333",87000,2000,93000,180000,"106,8965517%",Harian
09/08/2025,"Al Ma'soem",696,Pcs,"1291,666667",899000,1792,1189000,2088000,"132,2580645%",Ritel
