Tanggal,Nama Barang,Qty Terjual,Satuan,Harga Beli Satuan,Total Harga Beli,Harga Jual Satuan,Total Keuntungan
10/05/2026,cireng bentuk isi,10,pcs,2500,25000,3000,5000
10/05/2026,pangsit bojot,5,pcs,10000,50000,13000,15000
11/05/2026,cireng isi baso,20,pcs,2000,40000,2500,10000
11/05/2026,Dimsum Bojot & Goang (Raw Name),15,pcs,5000,75000,7000,30000
12/05/2026,basreng kering,8,pcs,5000,40000,7000,16000
12/05/2026,basreng basah,12,pcs,5000,60000,7000,24000
13/05/2026,Pangsit Goreng Spesial (Raw Name),10,pcs,9000,90000,11000,20000
